Province,AQI,Date
Hà Nội,184.0,2025-12-23 20:38:19.279288
Hồ Chí Minh,73.0,2025-12-23 20:38:19.612237
Thái Nguyên,25.0,2025-12-23 20:38:19.969636
Bắc Ninh,8.0,2025-12-23 20:38:20.297435
Thái Bình,4.0,2025-12-23 20:38:20.630018
Ninh Bình,3.0,2025-12-23 20:38:21.002671
Quảng Ninh,45.0,2025-12-23 20:38:21.340853
Quảng Bình,42.0,2025-12-23 20:38:21.686386
Trà Vinh,,2025-12-23 20:38:22.026111
Cần Thơ,32.0,2025-12-23 20:38:22.372342
Tây Ninh,61.0,2025-12-23 20:38:22.694724
Gia Lai,,2025-12-23 20:38:23.010825
Bình Định,,2025-12-23 20:38:23.347953
Quảng Ngãi,,2025-12-23 20:38:23.682169
Đà Nẵng,113.0,2025-12-23 20:38:24.040504
Hà Nam,,2025-12-23 20:38:24.393512
Hưng Yên,44.0,2025-12-23 20:38:24.748050
Hải Dương,,2025-12-23 20:38:25.090466
Phú Thọ,74.0,2025-12-23 20:38:25.452507
Long An,,2025-12-23 20:38:25.784257
